title,description,cuisine,state,region,language,source_url,ingredients,steps
Vegetable Pulao Scale Batch 05,Production scale ingestion fixture for Vegetable Pulao.,Indian,Telangana,South,english,https://example.com/generated-indian-recipes/0090,250 g rice|100 g potato|80 g onion|15 ml oil,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Kadhi Pakora Scale Batch 05,Production scale ingestion fixture for Kadhi Pakora.,North Indian,Rajasthan,North,english,https://example.com/generated-indian-recipes/0091,200 g rice|50 g urad dal|5 g salt|15 ml oil,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Dal Tadka Scale Batch 05,Production scale ingestion fixture for Dal Tadka.,North Indian,Punjab,North,english,https://example.com/generated-indian-recipes/0092,200 g paneer|150 g tomato|100 g onion|20 g butter,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Jeera Rice Scale Batch 05,Production scale ingestion fixture for Jeera Rice.,Indian,Maharashtra,West,english,https://example.com/generated-indian-recipes/0093,200 g chickpea|120 g onion|150 g tomato|10 g turmeric,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Paneer Bhurji Scale Batch 05,Production scale ingestion fixture for Paneer Bhurji.,North Indian,Delhi,North,english,https://example.com/generated-indian-recipes/0094,200 g potato|150 g cauliflower|100 g onion|10 g cumin,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Potato Curry Scale Batch 05,Production scale ingestion fixture for Potato Curry.,Indian,West Bengal,East,english,https://example.com/generated-indian-recipes/0095,250 g rice|150 g tomato|10 g mustard seed|15 ml oil,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Cauliflower Sabzi Scale Batch 05,Production scale ingestion fixture for Cauliflower Sabzi.,Indian,Bihar,East,english,https://example.com/generated-indian-recipes/0096,200 g rice|100 g moong dal|5 g salt|10 g ghee,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Urad Dal Vada Scale Batch 05,Production scale ingestion fixture for Urad Dal Vada.,South Indian,Tamil Nadu,South,english,https://example.com/generated-indian-recipes/0097,200 g rice|150 g chickpea|100 g onion|10 g cumin,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Sambar Rice Scale Batch 05,Production scale ingestion fixture for Sambar Rice.,South Indian,Karnataka,South,english,https://example.com/generated-indian-recipes/0098,150 g besan|80 g onion|10 g coriander|10 ml oil,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Tomato Chutney Scale Batch 05,Production scale ingestion fixture for Tomato Chutney.,South Indian,Andhra Pradesh,South,english,https://example.com/generated-indian-recipes/0099,250 g rice|150 g yogurt|5 g salt|10 g mustard seed,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Chickpea Sundal Scale Batch 05,Production scale ingestion fixture for Chickpea Sundal.,South Indian,Kerala,South,english,https://example.com/generated-indian-recipes/0100,250 g rice|100 g potato|80 g onion|15 ml oil,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
